,Date,Symbol,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Short % of Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
33,20200520,VOLT,15.85M,88.18M,,2.47,,0.02,0.33,0.09,-28.24,2.07,-82.09%,3.13%,4.7500,0.6500,0.8117,1.8884,69.14k,60.38k,21.41M,12.92M,37.00%,39.65%,15.25k,0.11,0.07%,0.06%,,,,,,0.00%,,,3:2,"Jan 28, 2007","Nov 02, 2019","Feb 01, 2020",-2.37%,-1.09%,-2.70%,-47.35%,961.42M,45.34,-14.10%,152.56M,-3.12M,-22.78M,-1.0740,,33.66M,1.57,103.65M,213.86,1.78,2.26,5.44M,13.59M
34,20200520,GEN,105.49M,4.25B,6.40,-10.67,-0.72,0.02,,0.93,24.35,1.32,-48.78%,3.13%,1.8600,0.5800,0.7766,1.3208,454.3k,753.15k,108.16M,69.74M,43.43%,34.42%,2.13M,6.66,3.02%,1.39%,,,,,,0.00%,,,10:11,"Apr 03, 2013","Dec 30, 2019","Dec 30, 2019",0.32%,1.12%,0.72%,,4.57B,42.56,-4.30%,2.08B,174.44M,14.62M,0.1000,,12.1M,0.11,4.5B,,0.77,-7.01,-7.17M,-478.27M
35,20200520,IPI,132.76M,176.23M,,17.07,-0.54,0.76,0.31,1.00,3.85,1.85,-68.64%,3.13%,3.8700,0.6000,0.9074,1.8010,835.93k,704.77k,131.48M,92.97M,41.90%,46.87%,3.3M,2,2.15%,1.29%,,,,,,0.00%,"Dec 26, 2012","Dec 12, 2012",,,"Dec 30, 2019","Mar 30, 2020",0.05%,6.16%,1.19%,0.02%,175.76M,1.36,9.70%,45.29M,45.83M,79k,-0.0090,,44.37M,0.34,83.17M,19.42,2.05,3.35,56.03M,-7.1M
36,20200520,LYG,24.13B,144.96T,4.70,,,,0.44,,,1.10,-53.29%,3.13%,3.5800,1.2700,1.4626,2.4707,14.63M,10.02M,17.61B,91.79T,0.00%,1.74%,813.61k,0.18,,0.02%,,,0.04,2.89%,4.49,47.55%,"Jun 07, 2020","Apr 15, 2020",1:1,"May 05, 2009","Dec 30, 2019","Mar 30, 2020",14.05%,0.00%,0.27%,4.65%,,,-35.10%,16.98B,,,0.3000,-60.00%,,,,,,3.23,,
37,20200520,LYG,24.13B,144.96T,4.70,,,,0.44,,,1.10,-53.29%,3.13%,3.5800,1.2700,1.4626,2.4707,14.63M,10.02M,17.61B,91.79T,0.00%,1.74%,813.61k,0.18,,0.02%,,,0.04,2.89%,4.49,47.55%,"Jun 07, 2020","Apr 15, 2020",1:1,"May 05, 2009","Dec 30, 2019","Mar 30, 2020",14.05%,0.00%,0.27%,4.65%,,,-35.10%,16.98B,,,0.3000,-60.00%,,,,,,3.23,,
38,20200520,CX,3.09B,13.54B,20.45,9.74,-1.11,0.24,0.35,1.03,6.87,,-53.42%,3.13%,4.4600,1.5500,2.0426,3.1629,11.34M,9.39M,1.51B,1.51B,0.08%,32.62%,6.95M,1.2,,0.89%,0.1,5.09%,0.01,0.49%,,163.38%,"Dec 17, 2019","Dec 12, 2019",104:100,"May 02, 2017","Dec 30, 2019","Mar 30, 2020",1.11%,9.85%,2.81%,1.13%,13.12B,8.70,-3.60%,4.3B,1.97B,93.45M,0.1000,8.60%,1.39B,0.92,10.2B,100.27,1.04,5.82,,
39,20200520,VEON,2.56B,11.93B,11.02,4.88,-0.18,0.29,4.85,1.36,4.20,,-40.24%,3.13%,3.2800,1.2500,1.5611,2.1370,6.81M,5.04M,1.75B,596.32M,56.17%,25.42%,3.26M,0.89,,0.20%,0.3,20.41%,0.28,19.05%,6.91,200.00%,"Mar 04, 2020","Feb 25, 2020",5:1,"Aug 21, 2007","Dec 30, 2019","Mar 30, 2020",2.66%,15.83%,5.60%,12.06%,8.8B,5.01,-1.30%,6.79B,2.84B,234M,0.1330,-78.20%,1.85B,1.03,10.05B,673.73,0.48,0.30,2.74B,597.63M
40,20200520,CSLT,104.74M,99.67M,,-11.68,-0.19,0.71,0.87,0.68,-3.25,1.49,-78.27%,3.13%,3.5100,0.6000,0.6974,1.0897,559.07k,475.8k,114.48M,93.85M,3.89%,79.49%,2.65M,6.54,3.59%,2.10%,,,,,,0.00%,,,,,"Dec 30, 2019","Mar 30, 2020",-58.42%,-25.05%,-10.33%,-55.37%,146.86M,1.00,10.00%,84.23M,-30.67M,-85.8M,-0.5850,,43.69M,0.29,16.98M,14.14,1.84,0.81,-19.62M,-1.03M
41,20200520,ABUS,164.47M,142.88M,,-1.68,,27.36,,23.77,-2.09,2.58,-19.74%,3.13%,3.6600,0.8200,1.2586,2.1326,909.67k,1.93M,68.96M,39.24M,30.16%,35.04%,527.71k,0.6,0.80%,0.58%,,,,,,0.00%,,,1:5,"Nov 03, 2010","Dec 30, 2019","Dec 30, 2019",0.00%,"-1,168.61%",-26.33%,-112.63%,6.01M,0.10,-3.60%,-51.59M,-68.22M,-164.87M,-2.8880,,90.83M,1.32,3.36M,4.62,11.99,-1.00,-71.01M,-39.12M
42,20200520,CTEK,16.3M,16.97M,1.04,-17.44,-0.50,0.76,0.43,0.79,-5.60,2.22,-65.82%,3.13%,4.9400,1.1100,1.8163,2.7287,25.63k,33.22k,10.38M,7.47M,20.73%,32.16%,47.28k,1.62,0.36%,0.28%,,,,,,0.00%,,,1:3,"Jan 12, 2017","Dec 30, 2019","Dec 30, 2019",69.70%,-23.71%,-6.38%,-18.50%,21.36M,2.17,-17.30%,8.35M,-3.03M,-5.41M,1.5100,,5.33M,0.51,1.96M,5.13,2.61,3.68,-1.63M,3.09M
