,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,CallPut,Symbol
116,NOK210618C00002000,2020-05-14 1:03PM EDT,2.0,1.5,1.4,1.65,0.0,-,27,199,64.06%,call,NOK
117,NOK210618C00003000,2020-05-15 11:43AM EDT,3.0,0.82,0.83,0.88,0.01,+1.23%,101,2171,47.46%,call,NOK
118,NOK210618C00004000,2020-05-15 10:06AM EDT,4.0,0.45,0.38,0.44,0.06,+15.38%,32,10972,44.34%,call,NOK
119,NOK210618C00005000,2020-05-15 3:58PM EDT,5.0,0.22,0.22,0.23,0.01,+4.76%,30,16492,44.53%,call,NOK
120,NOK210618C00007000,2020-05-15 12:41PM EDT,7.0,0.09,0.07,0.1,0.0,-,84,2909,49.81%,call,NOK
121,NOK210618P00001000,2020-04-21 10:14AM EDT,1.0,0.03,0.0,0.1,0.0,-,3,6,82.03%,put,NOK
122,NOK210618P00002000,2020-05-13 9:55AM EDT,2.0,0.07,0.07,0.09,0.0,-,1,793,48.05%,put,NOK
123,NOK210618P00003000,2020-05-14 2:21PM EDT,3.0,0.38,0.36,0.38,0.0,-,223,1311,43.36%,put,NOK
124,NOK210618P00004000,2020-05-13 2:20PM EDT,4.0,0.95,0.9,0.96,0.0,-,3,1075,42.19%,put,NOK
125,NOK210618P00005000,2020-05-07 10:42AM EDT,5.0,1.66,1.58,1.88,0.0,-,1,177,52.44%,put,NOK
126,NOK210618P00007000,2020-05-07 10:42AM EDT,7.0,3.5,3.45,3.7,0.0,-,1,11,55.66%,put,NOK
127,NOK220121C00001000,2020-05-15 10:44AM EDT,1.0,2.5,2.45,2.75,0.05,+2.04%,1,1034,91.41%,call,NOK
128,NOK220121C00002000,2020-05-15 12:48PM EDT,2.0,1.63,1.63,1.78,0.08,+5.16%,5,5206,57.42%,call,NOK
129,NOK220121C00003000,2020-05-15 1:26PM EDT,3.0,1.0,0.93,1.0,0.09,+9.89%,24,18489,45.90%,call,NOK
130,NOK220121C00004000,2020-05-15 3:53PM EDT,4.0,0.54,0.53,0.54,-0.02,-3.57%,1284,44620,41.21%,call,NOK
131,NOK220121C00005000,2020-05-15 3:55PM EDT,5.0,0.34,0.33,0.36,0.01,+3.03%,281,81103,43.95%,call,NOK
132,NOK220121C00007000,2020-05-15 2:50PM EDT,7.0,0.14,0.14,0.15,0.0,-,556,66998,44.73%,call,NOK
